Individual,Species,Disp,Dispyr,Dispsex,Tag Code,Spawner Id,Spawner Lg (Mm),Spawner Wt (G),Rearing,Prepittag/Pittag Date,Fieldidtype,Fieldid,Rear,Pit Length,Pit Weight,Prepit Pool,Postpit Pool,Group,Individual At Pit-Tagging,Pool,Comment,Mortality Date,Mortality Length,Mortality Weight,Mortality Id,Mortalitysex,Comment,4/21/16 Length,4/21/16 Weight,Pool,Vaccinated 4/21/16,9/29/16 Length,9/29/16 Weight,9/29/16 Pool,1/12/17 Length,1/12/17 Weight,1/12/17 Pool,3yo Maturity Sorta Date,3yo Maturity Sorta Length,3yo Maturity Sorta Weight,3yo Maturity Sorta Sex,3yo Maturity Sorta Pool,3yo Maturity Sorta Tote,3yo Maturity Sorta Note,3yo Maturity Sortb Date,3yo Maturity Sortb Length,3yo Maturity Sortb Weight,3yo Maturity Sortb Sex,3yo Maturity Sortb Pool,3yo Maturity Sortb Tote,3yo Maturity Sortb Note,4yo Maturity Sorta Date,4yo Maturity Sorta Length,4yo Maturity Sorta Weight,4yo Maturity Sorta Sex,4yo Maturity Sorta Pool,4yo Maturity Sorta Tote,4yo Maturity Sorta Comment,4yo Maturity Sortb Date,4yo Maturity Sortb Sex,4yo Maturity Sortb Tote,Record Number,Accessed Date,Source Url,Preferred Citation
OneNOAA14BCB_0120,15,3yo Spawner,2017,male,3DD.007781181C,,447,1099,SW,2016-02-24 00:00:00,Cell#,0120,H,160,44.2,4.0,5.0,B,0120,,,,,,,,,,,,,292,333,27,,,,2017-06-29 00:00:00,429,1046,male,27,mid,,,,,,,,,,,,,,,,,,,Row 11 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0121,15,3yo Spawner,2017,male,3DD.00778017D8,M11,458,1152,SW,2016-02-24 00:00:00,Cell#,0121,H,190,89.3,4.0,5.0,B,0121,,,,,,,,,214,120,5,y,313,410,27,,,,2017-06-29 00:00:00,434,1133,male,27,fore,,,,,,,,,,,,,,,,,,,Row 12 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0122,15,4yo SPAWNER,2018,MALE,3DD.00778150B3,,655,3731,SW,2016-02-24 00:00:00,Cell#,0122,H,193,84.6,4.0,5.0,B,0122,,,,,,,,,207,99,5,y,,,,,,,2017-06-29 00:00:00,439,1084,imm,27,27,,08/03/2017,,,imm,27,27,,2018-06-19 00:00:00,614,3376,male,27,fore2,,,,,Row 13 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0123,15,4yo SPAWNER,2018,MALE,3DD.007780FCA4,,430,1534,SW,2016-02-24 00:00:00,Cell#,0123,H,150,52.2,4.0,5.0,B,0123,,,,,,,,,,,,,,,,,,,2017-06-29 00:00:00,312,525,imm,27,27,,08/03/2017,,,imm,27,27,,2018-06-19 00:00:00,411,1370,male,27,aft2,,,,,Row 14 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0124,15,3yo Redfish Lake Release,2017,female,3DD.007780E093,,,,SW,2016-02-24 00:00:00,Cell#,0124,H,190,83.8,4.0,5.0,B,0124,,,,,,,,,226,139,5,y,,,,,,,2017-06-29 00:00:00,444,1097,female,27,fore,,,,,,,,,,,,,,,,,,,Row 15 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0125,15,3yo Redfish Lake Release,2017,female,3DD.00778D3B69,,,,SW,2016-02-24 00:00:00,Cell#,0125,H,180,73.1,4.0,5.0,B,0125,,,,,,,,,,,,,,,,,,,2017-06-29 00:00:00,422,1051,female,27,fore,,,,,,,,,,,,,,,,,,,Row 16 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0126,15,mort--mature,2017,,3DD.007781D8B6,,,,SW,2016-02-24 00:00:00,Cell#,0126,H,202,96.5,4.0,5.0,B,0126,,,2017-11-12 00:00:00,495,1236,27-16,MALE,MATURE,,,,,,,,,,,2017-06-29 00:00:00,465,1195,imm,27,27,,08/03/2017,,,imm,27,27,,,,,,,,,,,,Row 17 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0127,15,3yo Redfish Lake Release,2017,male,3DD.007781318D,2ND RELEASE,,,SW,2016-02-24 00:00:00,Cell#,0127,H,208,114.5,4.0,5.0,B,0127,,,,,,,,,,,,,,,,,,,2017-06-29 00:00:00,455,1390,male,27,fore,,,,,,,,,,,,,,,,,,,Row 18 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0128,15,3yo Spawner,2017,male,3DD.007780C683,M51,429,976,SW,2016-02-24 00:00:00,Cell#,0128,H,202,105.1,4.0,5.0,B,0128,,,,,,,,,,,,,323,468,27,,,,2017-06-29 00:00:00,414,976,male,27,aft2,,,,,,,,,,,,,,,,,,,Row 19 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0129,15,3yo Spawner,2017,female,3DD.0077800918,F93,450,1209,SW,2016-02-24 00:00:00,Cell#,0129,H,170,64.8,4.0,5.0,B,0129,,,,,,,,,,,,,,,,,,,2017-06-29 00:00:00,438,1238,female,27,fore,,,,,,,,,,,,,,,,,,,Row 20 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
