Individual,Species,Disp,Dispyr,Dispsex,Tag Code,Spawner Id,Spawner Lg (Mm),Spawner Wt (G),Rearing,Prepittag/Pittag Date,Fieldidtype,Fieldid,Rear,Pit Length,Pit Weight,Prepit Pool,Postpit Pool,Group,Individual At Pit-Tagging,Pool,Comment,Mortality Date,Mortality Length,Mortality Weight,Mortality Id,Mortalitysex,Comment,4/21/16 Length,4/21/16 Weight,Pool,Vaccinated 4/21/16,9/29/16 Length,9/29/16 Weight,9/29/16 Pool,1/12/17 Length,1/12/17 Weight,1/12/17 Pool,3yo Maturity Sorta Date,3yo Maturity Sorta Length,3yo Maturity Sorta Weight,3yo Maturity Sorta Sex,3yo Maturity Sorta Pool,3yo Maturity Sorta Tote,3yo Maturity Sorta Note,3yo Maturity Sortb Date,3yo Maturity Sortb Length,3yo Maturity Sortb Weight,3yo Maturity Sortb Sex,3yo Maturity Sortb Pool,3yo Maturity Sortb Tote,3yo Maturity Sortb Note,4yo Maturity Sorta Date,4yo Maturity Sorta Length,4yo Maturity Sorta Weight,4yo Maturity Sorta Sex,4yo Maturity Sorta Pool,4yo Maturity Sorta Tote,4yo Maturity Sorta Comment,4yo Maturity Sortb Date,4yo Maturity Sortb Sex,4yo Maturity Sortb Tote,Record Number,Accessed Date,Source Url,Preferred Citation
OneNOAA14BCB_0295,15,3yo Redfish Lake Release,2017,female,3DD.007780D650,2nd RELEASE,,,FW,2016-02-24 00:00:00,Cell#,0295,H,196,99.6,4.0,4.0,B,0295,,,,,,,,,227,154,4,n,,,,,,,2017-07-12 00:00:00,463,1385,female,18,18,,,,,,,,,,,,,,,,,,,Row 409 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0296,15,3yo Redfish Lake Release,2017,male,3DD.007780656B,,,,FW,2016-02-24 00:00:00,Cell#,0296,H,185,74.6,4.0,4.0,B,0296,,,,,,,,,,,,,298,367,17,,,,2017-07-12 00:00:00,407,896,male,18,18,,,,,,,,,,,,,,,,,,,Row 410 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0297,15,3yo Redfish Lake Release,2017,male,3DD.0077813FA1,2ND RELEASE,,,FW,2016-02-24 00:00:00,Cell#,0297,H,200,106.9,4.0,4.0,B,0297,,,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,434,1146,male,17,17,,,,,,,,,,,,,,,,,,,Row 411 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0298,15,3yo Redfish Lake Release,2017,female,3DD.00778172C4,2ND RELEASE,,,FW,2016-02-24 00:00:00,Cell#,0298,H,180,75.3,4.0,4.0,B,0298,,,,,,,,,,,,,294,355,17,,,,2017-07-12 00:00:00,413,915,female,17,17,,,,,,,,,,,,,,,,,,,Row 412 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0299,15,3yo Redfish Lake Release,2017,female,3DD.007781B702,,,,FW,2016-02-24 00:00:00,Cell#,0299,H,188,79.4,4.0,4.0,B,0299,,,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,,,FEMALE,,,0077AE374A,,,,,,,,,,,,,,,,,,Row 413 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0300,15,3yo Redfish Lake Release,2017,female,3DD.00778125D0,,,,FW,2016-02-24 00:00:00,Cell#,0300,H,189,80.6,4.0,4.0,B,0300,,,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,456,1232,female,17,17,,,,,,,,,,,,,,,,,,,Row 414 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0301,15,3yo Redfish Lake Release,2017,female,3DD.007781A783,2ND RELEASE,,,FW,2016-02-24 00:00:00,Cell#,0301,H,194,91.4,4.0,4.0,B,0301,,,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,448,1193,female,18,18,,,,,,,,,,,,,,,,,,,Row 415 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0302,15,3yo Redfish Lake Release,2017,female,3DD.00778132F6,2ND RELEASE,,,FW,2016-02-24 00:00:00,Cell#,0302,H,208,114.8,4.0,4.0,B,0302,,,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,467,1355,female,18,18,,,,,,,,,,,,,,,,,,,Row 416 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0303,15,MORT,2016,,3DD.007781054B,,,,FW,2016-02-24 00:00:00,Cell#,0303,H,180,80.5,4.0,4.0,B,0303,,,2016-07-24 00:00:00,230,168.5,BCH17-1,FEMALE,"IMM, DRIFTER CULL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Row 417 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0304,15,3yo Redfish Lake Release,2017,male,3DD.0077809B97,2ND RELEASE,,,FW,2016-02-24 00:00:00,Cell#,0304,H,185,69.8,4.0,4.0,B,0304,,,,,,,,,214,112,4,n,318,414,17,,,,2017-07-12 00:00:00,460,1231,male,18,18,,,,,,,,,,,,,,,,,,,Row 418 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0305,15,3yo Redfish Lake Release,2017,female,3DD.00778D6E9B,,,,FW,2016-02-24 00:00:00,Cell#,0305,H,192,89.1,4.0,4.0,B,0305,,,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,424,1014,female,17,17,,,,,,,,,,,,,,,,,,,Row 419 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0306,15,3yo SPAWNER,2017,male,3DD.007780E9F0,,442,1132,FW,2016-02-24 00:00:00,Cell#,0306,H,215,123.9,4.0,4.0,B,0306,,,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,427,1088,male,18,18,,,,,,,,,,,,,,,,,,,Row 420 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0307,15,3yo Redfish Lake Release,2017,male,3DD.007780F216,,,,FW,2016-02-24 00:00:00,Cell#,0307,H,196,84.7,4.0,4.0,B,0307,,,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,460,1203,male,17,17,,,,,,,,,,,,,,,,,,,Row 421 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0308,15,3yo Redfish Lake Release,2017,male,3DD.0077814798,2ND RELEASE,,,FW,2016-02-24 00:00:00,Cell#,0308,H,183,74.4,4.0,4.0,B,0308,,,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,425,1039,male,17,17,,,,,,,,,,,,,,,,,,,Row 422 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0309,15,3yo SPAWNER,2017,female,3DD.0077810577,F82,457,1143,FW,2016-02-24 00:00:00,Cell#,0309,H,186,81.3,4.0,4.0,B,0309,,,,,,,,,,,,,,,,357,653,17 to 18,2017-07-12 00:00:00,444,1213,female,18,18,,,,,,,,,,,,,,,,,,,Row 423 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0310,15,3yo SPAWNER,2017,female,3DD.007780E3CA,F106,427,786,FW,2016-02-24 00:00:00,Cell#,0310,H,210,114.8,4.0,4.0,B,0310,,SCOL,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,438,1053,female,17,17,,,,,,,,,,,,,,,,,,,Row 424 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0311,15,3yo Pettit Lake Release,2017,male,3DD.00778173BB,,,,FW,2016-02-24 00:00:00,Cell#,0311,H,180,78.3,4.0,4.0,B,0311,,,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,450,1146,male,18,18,,,,,,,,,,,,,,,,,,,Row 425 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0312,15,3yo SPAWNER,2017,female,3DD.007780E1DA,F78,467,1185,FW,2016-02-24 00:00:00,Cell#,0312,H,195,99.1,4.0,4.0,B,0312,,,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,454,1234,female,17,17,,,,,,,,,,,,,,,,,,,Row 426 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0313,15,imm bch,2018,,3DD.0077804A9B,OneNOAA17CRC_0213,,,FW,2016-02-24 00:00:00,Cell#,0313,H,172,63.8,4.0,4.0,B,0313,,,,,,,,,,,,,,,,318,454,17 to 18,2017-07-12 00:00:00,377,742,imm,18,6,,RECLIP,,,,,,,2018-07-05 00:00:00,518,2069,imm,6,6,BCH 2nd year,,,,Row 427 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0314,15,imm bch,2018,,3DD.007780E116,OneNOAA17CRC_0214,,,FW,2016-02-24 00:00:00,Cell#,0314,H,162,58.7,4.0,4.0,B,0314,,,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,365,699,imm,17,6,,RECLIP,,,,,,,2018-07-05 00:00:00,476,1717,imm,6,6,BCH 2nd year,,,,Row 428 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0315,15,3yo Pettit Lake Release,2017,female,3DD.00778C9B48,,,,FW,2016-02-24 00:00:00,Cell#,0315,H,192,86.6,4.0,4.0,B,0315,,,,,,,,,,,,,312,406,17,,,,2017-07-12 00:00:00,449,1306,male,18,18,0077AED6BD,FEMALE,,,,,,,,,,,,,,,,,Row 429 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0316,15,MORT,2016,,3DD.007780F6D4,,,,FW,2016-02-24 00:00:00,Cell#,0316,H,150,38.5,4.0,4.0,B,0316,,,2016-08-19 00:00:00,200,112.4,17-2 (BCH),MALE,"IMM,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Row 430 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0317,15,3yo SPAWNER,2017,male,3DD.007781B4CE,,421,905,FW,2016-02-24 00:00:00,Cell#,0317,H,195,94.7,4.0,4.0,B,0317,,,,,,,,,,,,,293,364,17,340,573,17 to 18,2017-07-12 00:00:00,402,887,male,18,18,,,,,,,,,,,,,,,,,,,Row 431 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0318,15,3yo Redfish Lake Release,2017,male,3DD.00778100C0,2nd RELEASE,,,FW,2016-02-24 00:00:00,Cell#,0318,H,164,55.4,4.0,4.0,B,0318,,,,,,,,,201,100,4,n,,,,356,645,17 to 18,2017-07-12 00:00:00,419,999,male,18,18,,,,,,,,,,,,,,,,,,,Row 432 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0319,15,3yo Redfish Lake Release,2017,male,3DD.0077806844,,,,FW,2016-02-24 00:00:00,Cell#,0319,H,197,102.7,4.0,4.0,B,0319,,,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,437,1163,male,18,18,,,,,,,,,,,,,,,,,,,Row 433 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0320,15,3yo Redfish Lake Release,2017,female,3DD.00778C137B,2ND RELEASE,,,FW,2016-02-24 00:00:00,Cell#,0320,H,184,73.9,4.0,4.0,B,0320,,,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,442,1140,female,17,17,,,,,,,,,,,,,,,,,,,Row 434 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0321,15,3yo Redfish Lake Release,2017,male,3DD.007780F49B,,,,FW,2016-02-24 00:00:00,Cell#,0321,H,198,105.9,4.0,4.0,B,0321,,,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,415,1010,male,18,18,,,,,,,,,,,,,,,,,,,Row 435 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0322,15,3yo Redfish Lake Release,2017,female,3DD.0077800771,2ND RELEASE,,,FW,2016-02-24 00:00:00,Cell#,0322,H,173,65.7,4.0,4.0,B,0322,,,,,,,,,,,,,282,331,17,,,,2017-07-12 00:00:00,403,896,female,17,17,,,,,,,,,,,,,,,,,,,Row 436 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0323,15,3yo Redfish Lake Release,2017,female,3DD.007780EDA0,2ND RELEASE,,,FW,2016-02-24 00:00:00,Cell#,0323,H,145,42.7,4.0,4.0,B,0323,,,,,,,,,171,67,4,n,245,231,17,293,387,17 to 18,2017-07-12 00:00:00,360,725,female,18,18,,,,,,,,,,,,,,,,,,,Row 437 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0324,15,3yo Redfish Lake Release,2017,female,3DD.00778CEA49,2ND RELEASE,,,FW,2016-02-24 00:00:00,Cell#,0324,H,195,92.9,4.0,4.0,B,0324,,,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,459,1349,female,18,18,,,,,,,,,,,,,,,,,,,Row 438 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0325,15,3yo Redfish Lake Release,2017,male,3DD.007781DA48,2ND RELEASE,,,FW,2016-02-24 00:00:00,Cell#,0325,H,198,101.7,4.0,4.0,B,0325,,,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,418,922,male,17,17,,,,,,,,,,,,,,,,,,,Row 439 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0326,15,3yo Redfish Lake Release,2017,male,3DD.0077805A50,2ND RELEASE,,,FW,2016-02-24 00:00:00,Cell#,0326,H,196,97.9,4.0,4.0,B,0326,,,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,434,1154,male,18,18,,,,,,,,,,,,,,,,,,,Row 440 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0327,15,3yo Pettit Lake Release,2017,female,3DD.007780A81C,,,,FW,2016-02-24 00:00:00,Cell#,0327,H,171,60.7,4.0,4.0,B,0327,,,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,378,667,female,18,18,,,,,,,,,,,,,,,,,,,Row 441 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0328,15,3yo Redfish Lake Release,2017,male,3DD.00778D7C87,2ND RELEASE,,,FW,2016-02-24 00:00:00,Cell#,0328,H,168,51.9,4.0,4.0,B,0328,,,,,,,,,,,,,,,,,,,2017-07-12 00:00:00,438,1038,male,17,17,,,,,,,,,,,,,,,,,,,Row 442 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0329,15,3yo Redfish Lake Release,2017,female,3DD.007781DEEB,2ND RELEASE,,,FW,2016-02-24 00:00:00,Cell#,0329,H,174,68,4.0,4.0,B,0329,,,,,,,,,194,101,4,n,,,,,,,2017-07-12 00:00:00,405,987,female,18,18,,,,,,,,,,,,,,,,,,,Row 443 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0330,15,3yo spawner,2017,female,3DD.0077807564,F49,421,988,FW,2016-02-24 00:00:00,Cell#,0330,H,156,49.3,4.0,4.0,B,0330,,,,,,,,,,,,,280,342,17,334,612,17 to 18,2017-07-12 00:00:00,408,1045,female,18,18,,,,,,,,,,,,,,,,,,,Row 444 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
OneNOAA14BCB_0331,15,3yo Redfish Lake Release,2017,female,3DD.00778D98D4,2ND RELEASE,,,FW,2016-02-24 00:00:00,Cell#,0331,H,180,79.4,4.0,4.0,B,0331,,,,,,,,,,,,,296,392,17,,,,2017-07-12 00:00:00,436,1205,female,17,17,,,,,,,,,,,,,,,,,,,Row 445 of 1353,Accessed on 2023-05-13 00:09:07,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data,"Frost, Deborah; 05/30/2019. NOAA Fisheries Northwest Fisheries Science Center. Growth data: Redfish_Lake_growth_data (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/redfish_lake_growth_data)"
