Name,Index,Latest Price,Previous Close,Low,High,Change,% Change,Datetime,3 Mo. Change,3 Mo. % Change,6 Mo. Change,6 Mo. % Change,1 Year Change,1 Year % Change
PayPal,S&P 500,77.19,76.53,76.56,77.94,0.66,0.86%,01:37 PM04/17/2023 01:37:56 PM UTC-0400,-5.98,-7.52%,-10.54,-12.54%,-31.67,-30.11%
Pentair,S&P 500,52.79,52.95,52.71,53.38,-0.16,-0.30%,01:37 PM04/17/2023 01:37:57 PM UTC-0400,2.65,5.25%,11.66,28.09%,0.21,0.40%
PepsiCo,S&P 500,183.77,183.51,183.62,184.75,0.26,0.14%,01:37 PM04/17/2023 01:37:35 PM UTC-0400,7.32,4.18%,7.95,4.55%,9.56,5.53%
PerkinElmer,S&P 500,136.08,137.12,135.78,137.09,-1.04,-0.76%,01:36 PM04/17/2023 01:36:34 PM UTC-0400,0.6,0.45%,13.18,10.87%,-29.84,-18.17%
Pfizer,S&P 500,41.13,41.19,40.96,41.21,-0.07,-0.16%,01:38 PM04/17/2023 01:38:01 PM UTC-0400,-6.46,-13.50%,-1.57,-3.65%,-11.72,-22.07%
Philip Morris,S&P 500,99.59,99.49,99.35,100.04,0.11,0.11%,01:37 PM04/17/2023 01:37:43 PM UTC-0400,-2.91,-2.86%,11.56,13.25%,-2.41,-2.38%
Phillips 66,S&P 500,104.42,106.29,103.75,106.15,-1.87,-1.76%,01:37 PM04/17/2023 01:37:58 PM UTC-0400,3.03,2.94%,9.12,9.41%,22.92,27.57%
Pinnacle West Capital,S&P 500,78.71,78.51,78.54,79.11,0.2,0.25%,01:37 PM04/17/2023 01:37:34 PM UTC-0400,4.41,5.86%,17.76,28.63%,2.43,3.14%
Pioneer Natural Resources,S&P 500,228.58,229.96,227.79,232,-1.38,-0.60%,01:37 PM04/17/2023 01:37:54 PM UTC-0400,-13.81,-5.78%,-28.28,-11.15%,-30.16,-11.81%
PNC Financial Services Group,S&P 500,122.53,121.8,118.71,123.09,0.73,0.60%,01:38 PM04/17/2023 01:38:01 PM UTC-0400,-44.26,-27.00%,-33.27,-21.75%,-58.72,-32.92%
Pool,S&P 500,333.19,330.25,329.33,334.45,2.94,0.89%,01:36 PM04/17/2023 01:36:55 PM UTC-0400,-15.19,-4.35%,12.19,3.79%,-87.54,-20.77%
PPG Industries,S&P 500,139.78,138.4,138.38,140.17,1.38,0.99%,01:38 PM04/17/2023 01:38:02 PM UTC-0400,5.62,4.24%,25.87,23.07%,7.43,5.69%
PPL,S&P 500,28.62,28.56,28.62,28.85,0.06,0.21%,01:38 PM04/17/2023 01:38:01 PM UTC-0400,-1.96,-6.40%,3.97,16.09%,-0.34,-1.16%
Principal Financial Group,S&P 500,76.31,75.89,75.02,76.55,0.42,0.55%,01:37 PM04/17/2023 01:37:47 PM UTC-0400,-13.99,-15.66%,-3.45,-4.38%,1.33,1.80%
Procter & Gamble,S&P 500,150.64,151,150.62,151.46,-0.36,-0.24%,01:37 PM04/17/2023 01:37:57 PM UTC-0400,0.2,0.13%,24.81,19.65%,-8.35,-5.24%
Progressive,S&P 500,137.14,135.75,136,138.23,1.39,1.02%,01:37 PM04/17/2023 01:37:56 PM UTC-0400,14.55,10.89%,25.77,21.05%,34.26,30.07%
Prologis,S&P 500,121.91,119.77,119.71,122.17,2.15,1.79%,01:37 PM04/17/2023 01:37:45 PM UTC-0400,0.94,0.77%,20.35,19.86%,-42.15,-25.55%
Prudential Financial,S&P 500,86.11,85.57,84.61,86.23,0.54,0.63%,01:36 PM04/17/2023 01:36:49 PM UTC-0400,-16.13,-15.97%,-10.3,-10.82%,-31.46,-27.05%
PTC,S&P 500,128.47,127.73,127.55,128.81,0.74,0.58%,01:37 PM04/17/2023 01:37:57 PM UTC-0400,-3.3,-2.54%,18.22,16.84%,24.82,24.44%
,S&P 500,63.37,63.51,63.23,63.87,-0.15,-0.23%,01:38 PM04/17/2023 01:38:01 PM UTC-0400,0.95,1.52%,8.64,15.72%,-7.94,-11.10%
,S&P 500,290.69,290.26,288.47,293.14,0.43,0.15%,01:36 PM04/17/2023 01:36:14 PM UTC-0400,22.47,7.73%,24,8.30%,-92.34,-22.77%
PulteGroup,S&P 500,60.37,60.15,59.98,60.8,0.22,0.36%,01:37 PM04/17/2023 01:37:53 PM UTC-0400,9.04,17.82%,20.91,53.81%,17.05,39.91%
Qorvo,S&P 500,92.78,93.58,92.36,93.36,-0.8,-0.85%,01:37 PM04/17/2023 01:37:57 PM UTC-0400,-6.88,-6.85%,11.6,14.16%,-22.59,-19.46%
QUALCOMM,S&P 500,118.68,120.16,118.23,119.84,-1.49,-1.24%,01:38 PM04/17/2023 01:38:02 PM UTC-0400,0.03,0.02%,7.41,6.57%,-20.23,-14.40%
Quanta Services,S&P 500,166.33,166.05,165.96,167.45,0.28,0.17%,01:36 PM04/17/2023 01:36:28 PM UTC-0400,16.54,11.14%,34.81,26.73%,30.21,22.41%
Quest Diagnostics,S&P 500,142.56,142.4,142.11,143.43,0.16,0.11%,01:36 PM04/17/2023 01:36:27 PM UTC-0400,-5.47,-3.70%,16.7,13.28%,5.41,3.95%
Ralph Lauren a,S&P 500,118,120.07,117.87,120.32,-2.07,-1.72%,01:36 PM04/17/2023 01:36:21 PM UTC-0400,-0.59,-0.50%,24.19,25.72%,10.57,9.82%
Raymond James Financial,S&P 500,94.89,93.59,92.06,95.17,1.3,1.38%,01:37 PM04/17/2023 01:37:06 PM UTC-0400,-23.5,-20.34%,-14.47,-13.59%,-19.64,-17.59%
Raytheon Technologies,S&P 500,102.83,101.71,101.8,103.29,1.12,1.10%,01:37 PM04/17/2023 01:37:58 PM UTC-0400,2.87,2.91%,16.68,19.65%,-1.8,-1.74%
Realty Income,S&P 500,60.98,60.77,60.82,61.29,0.21,0.35%,01:37 PM04/17/2023 01:37:56 PM UTC-0400,-4.27,-6.45%,4.35,7.55%,-10.26,-14.21%
Regency Centers,S&P 500,59.88,59.66,59.66,60.42,0.22,0.37%,01:37 PM04/17/2023 01:37:57 PM UTC-0400,-5.99,-9.08%,5.29,9.67%,-10.54,-14.94%
Regeneron Pharmaceuticals,S&P 500,821.91,829.33,818.65,833.62,-7.42,-0.89%,01:37 PM04/17/2023 01:37:17 PM UTC-0400,98.3,13.61%,67.87,9.02%,88.54,12.10%
Regions Financial,S&P 500,18.78,18.5,18.22,18.9,0.28,1.49%,01:37 PM04/17/2023 01:37:59 PM UTC-0400,-4.09,-18.22%,-2.54,-12.16%,-2.6,-12.40%
Republic Services,S&P 500,138.05,137.38,137.54,138.5,0.67,0.48%,01:16 PM04/17/2023 01:16:25 PM UTC-0400,12.06,9.65%,6.27,4.80%,3.79,2.85%
ResMed,S&P 500,223.42,224.54,223.01,225.53,-1.12,-0.50%,01:15 PM04/17/2023 01:15:57 PM UTC-0400,3.94,1.81%,7.26,3.38%,-14.52,-6.14%
Robert Half,S&P 500,75.35,75.36,75.23,76.02,-0.01,-0.01%,01:16 PM04/17/2023 01:16:30 PM UTC-0400,-3.51,-4.53%,-8.14,-9.92%,-37.28,-33.52%
Rockwell Automation,S&P 500,276.99,277.37,276.65,279.54,-0.38,-0.14%,01:16 PM04/17/2023 01:16:01 PM UTC-0400,-4.12,-1.44%,49.22,21.22%,14.24,5.34%
Rollins,S&P 500,38.75,38.79,38.7,39.13,-0.05,-0.12%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,1.4,3.69%,3.11,8.62%,3.7,10.43%
Roper Industries,S&P 500,440.64,439.87,439.77,442.66,0.77,0.18%,01:15 PM04/17/2023 01:15:03 PM UTC-0400,-8.57,-1.90%,72.07,19.45%,-25.48,-5.44%
Ross Stores,S&P 500,103.63,104.6,103.5,104.99,-0.97,-0.93%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,-17.12,-14.27%,17.44,20.41%,-0.04,-0.04%
Royal Caribbean Cruises,S&P 500,62.44,61.95,61.42,62.79,0.49,0.79%,01:16 PM04/17/2023 01:16:05 PM UTC-0400,-1.88,-2.96%,16.85,37.65%,-20.38,-24.86%
S&P Global,S&P 500,347.03,347.79,346.31,349.86,-0.76,-0.22%,01:16 PM04/17/2023 01:16:09 PM UTC-0400,-23.41,-6.39%,50.44,17.26%,-53.64,-13.53%
Salesforce,S&P 500,196.64,194.66,195.03,197.52,1.99,1.02%,01:16 PM04/17/2023 01:16:32 PM UTC-0400,40.89,27.35%,44.94,30.90%,-5.46,-2.79%
SBA Communications REIT,S&P 500,261.33,258.53,259.39,264.8,2.8,1.08%,01:15 PM04/17/2023 01:15:38 PM UTC-0400,-44.88,-14.64%,11.92,4.77%,-92.94,-26.21%
Schlumberger,S&P 500,51.74,52.47,51.4,52.75,-0.73,-1.39%,01:16 PM04/17/2023 01:16:25 PM UTC-0400,-6.33,-10.85%,7.81,17.68%,9.41,22.10%
Seagate Technology,S&P 500,63.97,63.96,63.37,64.74,0.01,0.02%,01:16 PM04/17/2023 01:16:32 PM UTC-0400,9.12,15.93%,13.34,25.15%,-17.72,-21.07%
