Name,Index,Latest Price,Previous Close,Low,High,Change,% Change,Datetime,3 Mo. Change,3 Mo. % Change,6 Mo. Change,6 Mo. % Change,1 Year Change,1 Year % Change
Walgreens Boots Alliance,S&P 500,35.61,35.32,35.35,35.74,0.29,0.82%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,-1.09,-2.96%,2.04,6.06%,-8.91,-19.98%
Walmart,S&P 500,149.1,148.46,148.5,149.67,0.64,0.43%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,4.1,2.82%,17.1,12.93%,-7.94,-5.05%
Walt Disney,S&P 500,99.76,99.89,99.17,100.57,-0.13,-0.13%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,-1.45,-1.45%,1.33,1.38%,-34.41,-25.99%
Waste Management,S&P 500,165.35,165.31,164.96,166.3,0.04,0.02%,01:16 PM04/17/2023 01:16:11 PM UTC-0400,11.29,7.32%,8.12,5.16%,5.69,3.56%
Waters,S&P 500,306.54,307.16,304.88,308.4,-0.62,-0.20%,01:15 PM04/17/2023 01:15:02 PM UTC-0400,-36.16,-10.66%,26.43,9.55%,4.49,1.50%
WEC Energy Group,S&P 500,96.16,96.85,95.99,97.52,-0.69,-0.71%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,2.41,2.52%,13.44,15.86%,-5.03,-4.87%
Wells Fargo,S&P 500,40.91,39.64,39.56,41.03,1.27,3.19%,01:16 PM04/17/2023 01:16:32 PM UTC-0400,-5.01,-11.33%,-3.12,-7.37%,-9.36,-19.27%
Welltower,S&P 500,74.53,74.09,74.12,75.03,0.45,0.60%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,3.49,4.91%,15.47,26.15%,-22.27,-22.98%
West Pharmaceutical Services,S&P 500,361.09,364.03,360.48,364.67,-2.94,-0.81%,01:15 PM04/17/2023 01:15:31 PM UTC-0400,107.9,43.04%,109.36,43.88%,-28.79,-7.43%
Western Digital,S&P 500,35.88,35.46,35.2,36.01,0.42,1.18%,01:16 PM04/17/2023 01:16:30 PM UTC-0400,0.78,2.10%,2.9,8.26%,-9.86,-20.60%
WestRock,S&P 500,30.31,30.19,30.11,30.51,0.13,0.41%,01:16 PM04/17/2023 01:16:30 PM UTC-0400,-7.38,-19.65%,-1.9,-5.92%,-19.3,-39.01%
Weyerhaeuser,S&P 500,31.25,31.08,31,31.5,0.17,0.53%,01:16 PM04/17/2023 01:16:30 PM UTC-0400,-1.24,-3.90%,0.77,2.58%,-9.48,-23.65%
Whirlpool,S&P 500,135.63,134.94,135.15,137.03,0.69,0.51%,01:15 PM04/17/2023 01:15:46 PM UTC-0400,-20.32,-13.17%,-9.35,-6.52%,-43.21,-24.39%
Williams Companies,S&P 500,30.35,30.4,30.34,30.57,-0.05,-0.16%,01:16 PM04/17/2023 01:16:28 PM UTC-0400,-2.49,-7.59%,-0.08,-0.26%,-4.72,-13.47%
Willis Towers Watson,S&P 500,236.84,237.46,236.28,238.14,-0.62,-0.26%,01:15 PM04/17/2023 01:15:34 PM UTC-0400,-17.45,-6.85%,30.14,14.56%,3.32,1.42%
Wynn Resorts,S&P 500,111.53,110.99,111.29,113.25,0.54,0.49%,01:16 PM04/17/2023 01:16:07 PM UTC-0400,5.81,5.80%,48.96,85.74%,32.49,44.16%
Xcel Energy,S&P 500,70.22,70.14,70.11,70.86,0.08,0.11%,01:16 PM04/17/2023 01:16:30 PM UTC-0400,-0.13,-0.18%,11.3,18.92%,-3.33,-4.48%
Xylem,S&P 500,104.13,104.43,104,105.31,-0.31,-0.29%,01:16 PM04/17/2023 01:16:32 PM UTC-0400,-13.4,-11.46%,15.17,17.17%,16.98,19.63%
YUM! Brands,S&P 500,136.62,134.9,134.99,136.62,1.72,1.28%,01:16 PM04/17/2023 01:16:31 PM UTC-0400,1.76,1.36%,22.31,20.34%,10.07,8.26%
Zebra Technologies,S&P 500,301.07,303.08,299.38,304.35,-2.01,-0.66%,01:16 PM04/17/2023 01:16:09 PM UTC-0400,7.71,2.63%,33.14,12.35%,-103.59,-25.58%
Activision Blizzard,Nasdaq 100,85.41,85.27,84.62,85.43,0.14,0.16%,01:39 PM04/17/2023 01:39:48 PM UTC-0400,8.29,10.81%,11.83,16.18%,5.85,7.40%
Adobe,Nasdaq 100,375.36,379.38,374.75,380.76,-4.02,-1.06%,01:39 PM04/17/2023 01:39:53 PM UTC-0400,25.51,7.41%,75.15,25.50%,-61.78,-14.31%
Align Technology,Nasdaq 100,345.86,342.27,341.71,345.91,3.59,1.05%,01:39 PM04/17/2023 01:39:06 PM UTC-0400,92.49,38.58%,119.94,56.49%,-84.66,-20.31%
Alphabet A,Nasdaq 100,105.79,108.87,104.52,106,-3.08,-2.83%,01:40 PM04/17/2023 01:40:02 PM UTC-0400,12.52,13.59%,5.58,5.63%,-25.25,-19.44%
Alphabet C,Nasdaq 100,106.37,109.46,105.33,106.71,-3.1,-2.83%,01:40 PM04/17/2023 01:40:02 PM UTC-0400,12.42,13.38%,5.51,5.53%,-25.07,-19.24%
Amazon,Nasdaq 100,102.42,102.51,101.59,103.73,-0.1,-0.09%,01:40 PM04/17/2023 01:40:01 PM UTC-0400,-0.29,-0.30%,-14.7,-13.06%,-57.71,-37.10%
AMD,Nasdaq 100,89.22,91.75,88.3,90.69,-2.54,-2.76%,01:40 PM04/17/2023 01:40:02 PM UTC-0400,21.33,30.04%,33.39,56.65%,-5.41,-5.54%
American Electric Power,Nasdaq 100,92.9,92.5,92.89,93.6,0.4,0.43%,01:40 PM04/17/2023 01:40:01 PM UTC-0400,-0.58,-0.61%,9.48,11.18%,-7.99,-7.81%
Amgen,Nasdaq 100,248.41,250,248.06,251.5,-1.59,-0.64%,01:39 PM04/17/2023 01:39:26 PM UTC-0400,-22.23,-8.18%,-2.16,-0.86%,-4.01,-1.58%
Analog Devices,Nasdaq 100,188.08,188.51,187.41,189.7,-0.43,-0.23%,01:40 PM04/17/2023 01:40:00 PM UTC-0400,18.31,10.84%,44.54,31.20%,29.17,18.45%
ANSYS,Nasdaq 100,318.69,317.47,316.89,319.73,1.22,0.38%,01:39 PM04/17/2023 01:39:43 PM UTC-0400,62.39,24.55%,110.82,53.88%,20.69,6.99%
Apple,Nasdaq 100,164.7,165.21,164.03,165.39,-0.52,-0.31%,01:40 PM04/17/2023 01:40:02 PM UTC-0400,25.34,18.80%,17.11,11.97%,-10.3,-6.04%
Applied Materials,Nasdaq 100,110.45,112.9,109.08,111.14,-2.45,-2.17%,01:39 PM04/17/2023 01:39:52 PM UTC-0400,3.19,2.90%,33.74,42.48%,-3.7,-3.17%
ASML,Nasdaq 100,635,666.2,632.68,642.1,-31.21,-4.68%,01:39 PM04/17/2023 01:39:44 PM UTC-0400,-5.03,-0.76%,249.26,61.48%,41.9,6.84%
Autodesk,Nasdaq 100,197.85,194.66,195.35,200.01,3.19,1.64%,01:38 PM04/17/2023 01:38:57 PM UTC-0400,-7.43,-3.70%,-0.69,-0.36%,-8.58,-4.25%
Automatic Data Processing,Nasdaq 100,216.02,215.7,215.83,217.08,0.32,0.15%,01:39 PM04/17/2023 01:39:59 PM UTC-0400,-29.75,-12.13%,-14.29,-6.22%,-18.13,-7.76%
Baker Hughes,Nasdaq 100,28.94,29.15,28.79,29.3,-0.21,-0.72%,01:40 PM04/17/2023 01:40:02 PM UTC-0400,-2.38,-7.52%,5.37,22.49%,-7.97,-21.41%
Biogen,Nasdaq 100,291.76,288.13,290.05,294.17,3.63,1.26%,01:39 PM04/17/2023 01:39:34 PM UTC-0400,-2.25,-0.78%,15.85,5.87%,71.81,33.56%
Booking Holdings,Nasdaq 100,"2,661.44","2,649.86","2,631.97","2,664.22",11.58,0.44%,01:39 PM04/17/2023 01:39:45 PM UTC-0400,245.91,10.69%,855.12,50.54%,287.14,12.70%
Broadcom,Nasdaq 100,625.42,619.54,617.87,625.8,5.88,0.95%,01:39 PM04/17/2023 01:39:27 PM UTC-0400,37.7,6.51%,178.73,40.81%,24.16,4.08%
Cadence Design Systems,Nasdaq 100,212.35,214.55,211.91,215.48,-2.2,-1.03%,01:38 PM04/17/2023 01:38:49 PM UTC-0400,42.92,25.36%,61.63,40.94%,56.39,36.20%
Charte a,Nasdaq 100,341.59,341.5,340.93,345,0.09,0.03%,01:40 PM04/17/2023 01:40:01 PM UTC-0400,-45.19,-11.63%,17.34,5.32%,-219.12,-38.96%
Cintas,Nasdaq 100,458,458.61,457.67,462.52,-0.61,-0.13%,01:38 PM04/17/2023 01:38:42 PM UTC-0400,5.02,1.12%,61.12,15.56%,34.56,8.24%
Cisco,Nasdaq 100,50.29,50.54,50.29,50.68,-0.25,-0.49%,01:40 PM04/17/2023 01:40:02 PM UTC-0400,1.23,2.52%,9.5,23.39%,-2.04,-3.91%
Cognizant,Nasdaq 100,60.24,60.04,59.87,60.41,0.2,0.32%,01:40 PM04/17/2023 01:40:01 PM UTC-0400,-3.78,-5.90%,1.33,2.26%,-25.78,-29.96%
Comcast,Nasdaq 100,38.08,37.96,37.95,38.15,0.12,0.32%,01:40 PM04/17/2023 01:40:01 PM UTC-0400,-1.29,-3.31%,7.41,24.51%,-10.27,-21.44%
Copart,Nasdaq 100,77.11,77.12,76.87,77.59,-0.02,-0.02%,01:40 PM04/17/2023 01:40:01 PM UTC-0400,13.32,21.20%,20.87,37.76%,15.45,25.45%
CoStar Group,Nasdaq 100,69.12,69.22,69.05,69.7,-0.1,-0.14%,01:40 PM04/17/2023 01:40:01 PM UTC-0400,-12.46,-15.37%,-3.08,-4.30%,5.09,8.02%
Costco Wholesale,Nasdaq 100,492.59,491.3,491.41,497.81,1.29,0.26%,01:39 PM04/17/2023 01:39:28 PM UTC-0400,4.1,0.84%,21.36,4.56%,-101.74,-17.21%
CrowdStrike,Nasdaq 100,136.9,135.77,134.65,137.95,1.13,0.83%,01:39 PM04/17/2023 01:39:43 PM UTC-0400,35.47,35.64%,-17.6,-11.53%,-104.86,-43.72%
CSX,Nasdaq 100,30.37,30.46,30.32,30.73,-0.1,-0.31%,01:39 PM04/17/2023 01:39:44 PM UTC-0400,-2.26,-6.97%,2.66,9.67%,-4.73,-13.56%
DexCom,Nasdaq 100,118.5,115.7,117.69,120.22,2.8,2.42%,01:39 PM04/17/2023 01:39:49 PM UTC-0400,6.35,5.85%,13.1,12.88%,-9.88,-7.92%
Diamondback Energy,Nasdaq 100,145.19,146.74,144.9,147.35,-1.55,-1.06%,01:39 PM04/17/2023 01:39:52 PM UTC-0400,-0.23,-0.16%,-0.27,-0.19%,4.67,3.33%
Dollar Tree,Nasdaq 100,146.11,147.9,146.1,148.81,-1.79,-1.21%,01:40 PM04/17/2023 01:40:02 PM UTC-0400,2.91,1.98%,9.65,6.87%,-20.9,-12.22%
eBay,Nasdaq 100,43.65,43.53,43.45,43.85,0.12,0.28%,01:39 PM04/17/2023 01:39:59 PM UTC-0400,-3.48,-7.52%,4.82,12.70%,-12.34,-22.39%
Electronic Arts,Nasdaq 100,127.95,127.87,127.14,127.98,0.08,0.06%,01:37 PM04/17/2023 01:37:56 PM UTC-0400,0.67,0.53%,4.91,4.05%,2.51,2.03%
Exelon,Nasdaq 100,42.42,42.13,42.22,42.68,0.29,0.68%,01:40 PM04/17/2023 01:40:02 PM UTC-0400,-0.3,-0.69%,5.85,15.71%,-5.56,-11.43%
Fastenal,Nasdaq 100,53.13,53.27,53.07,54.1,-0.14,-0.26%,01:40 PM04/17/2023 01:40:01 PM UTC-0400,3.74,7.66%,5.77,12.33%,-6.42,-10.89%
Fiserv,Nasdaq 100,116.37,115.59,115.38,116.37,0.78,0.67%,01:39 PM04/17/2023 01:39:53 PM UTC-0400,11.93,11.63%,18.84,19.70%,15.41,15.55%
Gilead Sciences,Nasdaq 100,83.28,83,83.03,83.74,0.28,0.33%,01:40 PM04/17/2023 01:40:02 PM UTC-0400,-4.11,-4.76%,15.7,23.62%,20.1,32.39%
GLOBALFOUNDRIES,Nasdaq 100,64.52,65.85,64.23,65.47,-1.33,-2.02%,01:39 PM04/17/2023 01:39:31 PM UTC-0400,6.92,11.70%,15.57,30.84%,11.23,20.48%
Honeywell,Nasdaq 100,197.42,196.55,196.74,197.89,0.87,0.44%,01:40 PM04/17/2023 01:40:01 PM UTC-0400,-23.38,-10.79%,15.68,8.83%,-1.62,-0.83%
IDEXX Laboratories,Nasdaq 100,477.45,482.49,475.29,485.31,-5.04,-1.04%,01:39 PM04/17/2023 01:39:08 PM UTC-0400,-8.18,-1.71%,135.68,40.47%,-37.71,-7.41%
Illumina,Nasdaq 100,228.24,228.01,227,229.58,0.23,0.10%,12:21 PM04/17/2023 12:21:25 PM UTC-0400,25.77,12.81%,24.24,11.96%,-116.47,-33.92%
Intel,Nasdaq 100,31.95,31.89,31.88,32.64,0.06,0.19%,12:21 PM04/17/2023 12:21:31 PM UTC-0400,1.91,6.34%,5.6,21.20%,-14.99,-31.89%
Intuit,Nasdaq 100,436.41,441.62,436.01,443.91,-5.22,-1.18%,12:20 PM04/17/2023 12:20:51 PM UTC-0400,41.88,10.65%,39.31,9.93%,-35.33,-7.51%
Intuitive Surgical,Nasdaq 100,266.59,267.02,265.83,267.9,-0.43,-0.16%,12:21 PM04/17/2023 12:21:32 PM UTC-0400,2.87,1.11%,71.39,37.50%,-23.45,-8.22%
JD.com,Nasdaq 100,37.93,36.85,37.55,37.99,1.08,2.92%,12:21 PM04/17/2023 12:21:36 PM UTC-0400,-26.65,-41.90%,-8.1,-17.98%,-21.33,-36.60%
Keurig Dr Pepper,Nasdaq 100,35.27,35.1,35.21,35.42,0.17,0.47%,12:21 PM04/17/2023 12:21:30 PM UTC-0400,-0.48,-1.34%,-2.93,-7.68%,-2.45,-6.51%
KLA-Tencor,Nasdaq 100,363.96,375.04,361.91,370.27,-11.08,-2.95%,12:21 PM04/17/2023 12:21:25 PM UTC-0400,-49.9,-11.88%,91.6,32.89%,33.62,9.99%
Lam Research,Nasdaq 100,484.18,500.84,483.11,495.03,-16.66,-3.33%,12:21 PM04/17/2023 12:21:32 PM UTC-0400,23.4,4.94%,156.46,45.94%,24.46,5.18%
Lululemon Athletica,Nasdaq 100,367.75,368.25,366.99,373.41,-0.5,-0.14%,12:20 PM04/17/2023 12:20:52 PM UTC-0400,48.07,15.24%,69.03,23.44%,-31.49,-7.97%
Marriott,Nasdaq 100,168.5,168.1,168.24,170.06,0.4,0.24%,12:21 PM04/17/2023 12:21:10 PM UTC-0400,-0.31,-0.19%,18.25,12.74%,-14.07,-8.02%
Marvell Technology,Nasdaq 100,40.04,40.29,39.42,40.51,-0.25,-0.62%,12:21 PM04/17/2023 12:21:34 PM UTC-0400,-1.14,-2.80%,0.4,1.02%,-23.77,-37.55%
MercadoLibre,Nasdaq 100,"1,298.68","1,301.88","1,288.46","1,308.77",-3.2,-0.25%,12:15 PM04/17/2023 12:15:48 PM UTC-0400,173.12,15.99%,433.98,52.79%,120.29,10.59%
Meta Platforms,Nasdaq 100,217.84,221.49,217.13,220.98,-3.65,-1.65%,12:21 PM04/17/2023 12:21:33 PM UTC-0400,77.02,56.23%,83.71,64.25%,-0.99,-0.46%
Microchip Technology,Nasdaq 100,79.07,79.53,78.77,79.6,-0.46,-0.58%,12:21 PM04/17/2023 12:21:12 PM UTC-0400,4.31,5.75%,19.79,33.29%,12.47,18.68%
Micron Technology,Nasdaq 100,62.09,62.63,61.99,62.77,-0.54,-0.86%,12:21 PM04/17/2023 12:21:29 PM UTC-0400,5.03,8.84%,7.1,12.94%,-10.42,-14.40%
Microsoft,Nasdaq 100,286.45,286.14,286.2,291.58,0.31,0.11%,12:21 PM04/17/2023 12:21:32 PM UTC-0400,44.26,18.50%,49.25,21.03%,-4.13,-1.44%
Moderna,Nasdaq 100,144.02,157.1,143.59,156.75,-13.08,-8.33%,12:21 PM04/17/2023 12:21:36 PM UTC-0400,-36.44,-18.98%,20.84,15.47%,-14.1,-8.31%
Mondelez,Nasdaq 100,69.93,69.81,69.71,70.19,0.12,0.17%,12:21 PM04/17/2023 12:21:30 PM UTC-0400,3.15,4.70%,12.53,21.72%,6.36,9.96%
Monster Beverage,Nasdaq 100,52.79,52.56,52.52,53.03,0.23,0.43%,12:21 PM04/17/2023 12:21:32 PM UTC-0400,1.43,2.80%,7.43,16.50%,10.47,24.91%
Netflix,Nasdaq 100,328.08,338.63,327.54,338.39,-10.55,-3.12%,12:21 PM04/17/2023 12:21:34 PM UTC-0400,-1.79,-0.54%,98.52,42.37%,-19.4,-5.54%
NVIDIA,Nasdaq 100,265.39,267.58,264.36,269.23,-2.19,-0.82%,12:21 PM04/17/2023 12:21:36 PM UTC-0400,95.96,56.78%,145.35,121.53%,42.92,19.33%
NXP Semiconductors,Nasdaq 100,172.47,172.35,170.85,173.68,0.12,0.07%,12:20 PM04/17/2023 12:20:30 PM UTC-0400,-1.6,-0.93%,27.05,18.89%,-0.81,-0.47%
O Reilly Automotive,Nasdaq 100,896.69,892.27,895.34,904.02,4.42,0.50%,12:19 PM04/17/2023 12:19:29 PM UTC-0400,61.88,7.59%,139.37,18.89%,153.25,21.16%
Old Dominion Freight Line,Nasdaq 100,337.16,338.67,337.16,341.73,-1.51,-0.45%,12:20 PM04/17/2023 12:20:51 PM UTC-0400,24.71,7.84%,71.51,26.63%,73.48,27.56%
Paccar,Nasdaq 100,73.2,72.72,73.03,73.57,0.48,0.66%,12:21 PM04/17/2023 12:21:02 PM UTC-0400,3.66,5.35%,11.95,19.86%,16.62,29.94%
Paychex,Nasdaq 100,108.34,107.92,108.08,109.01,0.42,0.39%,12:20 PM04/17/2023 12:20:54 PM UTC-0400,-11.9,-9.89%,-1.86,-1.69%,-29.48,-21.38%
PayPal,Nasdaq 100,76.97,76.53,76.56,77.94,0.44,0.58%,12:21 PM04/17/2023 12:21:32 PM UTC-0400,-5.98,-7.52%,-10.54,-12.54%,-31.67,-30.11%
PDD Holdings,Nasdaq 100,68.76,67.68,68.08,69.52,1.08,1.60%,12:21 PM04/17/2023 12:21:35 PM UTC-0400,-29.98,-30.91%,11.65,21.04%,23.11,52.63%
PepsiCo,Nasdaq 100,183.93,183.51,183.76,184.75,0.42,0.23%,12:21 PM04/17/2023 12:21:28 PM UTC-0400,7.32,4.18%,7.95,4.55%,9.56,5.53%
QUALCOMM,Nasdaq 100,119.09,120.16,118.62,119.84,-1.07,-0.89%,12:21 PM04/17/2023 12:21:29 PM UTC-0400,0.03,0.02%,7.41,6.57%,-20.23,-14.40%
Regeneron Pharmaceuticals,Nasdaq 100,822.87,829.33,821.58,833.62,-6.47,-0.78%,12:20 PM04/17/2023 12:20:14 PM UTC-0400,98.3,13.61%,67.87,9.02%,88.54,12.10%
Rivian Automotive,Nasdaq 100,13.84,13.38,13.35,14.12,0.46,3.44%,12:21 PM04/17/2023 12:21:30 PM UTC-0400,-2.26,-13.74%,-18.31,-56.34%,-26.96,-65.52%
Ross Stores,Nasdaq 100,103.72,104.6,103.54,104.99,-0.88,-0.84%,12:21 PM04/17/2023 12:21:17 PM UTC-0400,-17.12,-14.27%,17.44,20.41%,-0.04,-0.04%
Seagen,Nasdaq 100,205.84,205.5,205.66,206.35,0.34,0.17%,12:20 PM04/17/2023 12:20:59 PM UTC-0400,73.08,55.31%,71.67,53.67%,57.76,39.18%
Sirius XM,Nasdaq 100,3.96,3.96,3.95,4.03,0,0.00%,12:21 PM04/17/2023 12:21:34 PM UTC-0400,-1.98,-33.22%,-2.16,-35.18%,-2.55,-39.05%
Starbucks,Nasdaq 100,107.97,107.47,107.71,108.65,0.5,0.47%,12:21 PM04/17/2023 12:21:30 PM UTC-0400,-1.63,-1.52%,16.23,18.16%,24.68,30.50%
Synopsys,Nasdaq 100,376.8,381.68,376.8,382.48,-4.88,-1.28%,12:21 PM04/17/2023 12:21:18 PM UTC-0400,43.55,13.08%,89.09,31.00%,69.8,22.76%
Tesla,Nasdaq 100,183.29,185,182.7,189.69,-1.71,-0.92%,12:21 PM04/17/2023 12:21:36 PM UTC-0400,58.14,47.50%,-41.18,-18.57%,-160.25,-47.02%
Texas Instruments,Nasdaq 100,178.37,178.98,177.86,179.6,-0.61,-0.34%,12:21 PM04/17/2023 12:21:31 PM UTC-0400,-1.46,-0.82%,23.21,15.04%,2.44,1.39%
The Kraft Heinz Company,Nasdaq 100,39.34,39.1,39.1,39.4,0.24,0.62%,12:21 PM04/17/2023 12:21:35 PM UTC-0400,-3.14,-7.40%,3.5,9.78%,-2.72,-6.48%
T-Mobile US,Nasdaq 100,149.74,149.59,149.67,150.37,0.15,0.10%,12:21 PM04/17/2023 12:21:34 PM UTC-0400,-0.17,-0.11%,16.43,12.35%,14.66,10.87%
Verisk Analytic a,Nasdaq 100,191.04,191.86,191.01,193.28,-0.82,-0.43%,12:21 PM04/17/2023 12:21:07 PM UTC-0400,8.22,4.47%,22.43,13.21%,-21.94,-10.25%
Vertex Pharmaceuticals,Nasdaq 100,328.13,333.52,328.1,335,-5.39,-1.62%,12:21 PM04/17/2023 12:21:11 PM UTC-0400,25.43,8.45%,29.83,10.06%,35.44,12.18%
Walgreens Boots Alliance,Nasdaq 100,35.59,35.32,35.35,35.74,0.27,0.76%,12:21 PM04/17/2023 12:21:25 PM UTC-0400,-1.09,-2.96%,2.04,6.06%,-8.91,-19.98%
Warner Bros. Discovery,Nasdaq 100,14.18,13.78,13.76,14.22,0.4,2.90%,12:21 PM04/17/2023 12:21:35 PM UTC-0400,0.92,7.00%,1.56,12.48%,-11.94,-45.92%
Workda a,Nasdaq 100,194.87,194.04,193.29,195.38,0.83,0.43%,12:21 PM04/17/2023 12:21:03 PM UTC-0400,24.59,14.71%,49.03,34.36%,-36.92,-16.15%
Xcel Energy,Nasdaq 100,70.19,70.14,70.11,70.86,0.05,0.07%,12:21 PM04/17/2023 12:21:19 PM UTC-0400,-0.13,-0.18%,11.3,18.92%,-3.33,-4.48%
Zoom Video Communications,Nasdaq 100,67.87,69.5,67.75,69.19,-1.63,-2.35%,12:21 PM04/17/2023 12:21:24 PM UTC-0400,-2,-2.88%,-7.24,-9.69%,-47.4,-41.26%
