ori,aggravated-assault,violent-crime,robbery,arson,human-trafficing,rape-legacy,homicide,burglary,motor-vehicle-theft,larceny,rape,property-crime
CA0070100,400.0,591.0,142.0,45.0,0.0,0.0,9.0,464.0,573.0,1682.0,40.0,2719.0
CA0070200,91.0,169.0,47.0,5.0,0.0,0.0,1.0,187.0,128.0,977.0,30.0,1292.0
CA0070300,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,7.0,108.0,0.0,120.0
CA0070400,211.0,423.0,172.0,53.0,0.0,0.0,2.0,467.0,695.0,2621.0,38.0,3783.0
CA0070500,55.0,114.0,57.0,17.0,0.0,0.0,0.0,129.0,105.0,697.0,2.0,931.0
CA0070600,16.0,30.0,12.0,2.0,0.0,0.0,0.0,36.0,39.0,163.0,2.0,238.0
CA0070700,40.0,65.0,23.0,0.0,0.0,0.0,1.0,53.0,61.0,273.0,1.0,387.0
CA0070800,296.0,477.0,108.0,20.0,0.0,0.0,4.0,284.0,425.0,871.0,69.0,1580.0
CA0070900,40.0,95.0,50.0,8.0,0.0,0.0,0.0,182.0,158.0,1014.0,5.0,1354.0
CA0071000,767.0,1074.0,254.0,66.0,0.0,0.0,20.0,353.0,1511.0,1815.0,33.0,3679.0
CA0071100,81.0,168.0,76.0,29.0,0.0,0.0,2.0,98.0,306.0,450.0,9.0,854.0
CA0071200,61.0,91.0,27.0,3.0,0.0,0.0,0.0,264.0,217.0,1582.0,3.0,2063.0
CA0071300,3.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,66.0,0.0,81.0
CA0071400,39.0,76.0,24.0,22.0,0.0,0.0,1.0,88.0,133.0,338.0,12.0,559.0
CA0071500,4.0,15.0,10.0,1.0,0.0,0.0,0.0,32.0,30.0,199.0,1.0,261.0
CA0071600,13.0,15.0,1.0,0.0,0.0,0.0,0.0,20.0,13.0,110.0,1.0,143.0
CA0071800,17.0,40.0,23.0,0.0,0.0,0.0,0.0,1.0,40.0,202.0,0.0,243.0
CA0072100,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,42.0,2.0,62.0
CA007230X,10.0,21.0,8.0,0.0,0.0,0.0,0.0,48.0,9.0,182.0,3.0,239.0
CA007240X,21.0,54.0,22.0,3.0,0.0,0.0,0.0,104.0,56.0,636.0,11.0,796.0
CA007260X,1.0,6.0,5.0,0.0,0.0,0.0,0.0,44.0,10.0,76.0,0.0,130.0
CA0073300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA007340X,21.0,42.0,14.0,6.0,0.0,0.0,0.0,73.0,99.0,306.0,7.0,478.0
CA0079900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,53.0,0.0,528.0
CA0080000,60.0,121.0,15.0,13.0,0.0,0.0,2.0,95.0,6.0,212.0,44.0,313.0
CA0080100,46.0,77.0,21.0,13.0,0.0,0.0,0.0,80.0,14.0,185.0,10.0,279.0
CA008980X,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,23.0,0.0,45.0
CA0090000,144.0,219.0,30.0,5.0,0.0,0.0,0.0,361.0,21.0,1353.0,45.0,1735.0
CA0090100,32.0,41.0,6.0,1.0,0.0,0.0,0.0,58.0,41.0,161.0,3.0,260.0
