SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
13365,13366,4085,NY-00130,BREWSTER,10509,PUTNAM,NY,"50,405.00",0.00,"50,405.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BRIGHTWATERS,11718,SUFFOLK,NY,0.00,0.00,0.00,"18,200.00",0.00,0.00,"18,200.00"
13365,13366,4085,NY-00130,BROAD CHANNEL,11693,QUEENS,NY,"5,539,568.00","3,904,232.00","1,635,336.00","1,153,000.00","954,600.00","165,500.00","32,900.00"
13365,13366,4085,NY-00130,BRONX,10451,BRONX,NY,"247,010.00","194,497.00","52,513.00","99,100.00","12,100.00","51,900.00","35,100.00"
13365,13366,4085,NY-00130,BRONX,10452,BRONX,NY,"86,591.00","86,591.00",0.00,0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BRONX,10454,BRONX,NY,"78,808.00","8,700.00","70,108.00","68,700.00","8,700.00","3,100.00","56,900.00"
13365,13366,4085,NY-00130,BRONX,10456,BRONX,NY,"86,330.00","69,470.00","16,860.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BRONX,10457,BRONX,NY,"84,208.00","84,208.00",0.00,0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BRONX,10458,BRONX,NY,"6,158.00","6,158.00",0.00,"157,600.00",0.00,0.00,"157,600.00"
13365,13366,4085,NY-00130,BRONX,10460,BRONX,NY,"47,562.00","47,562.00",0.00,"29,800.00","29,800.00",0.00,0.00
13365,13366,4085,NY-00130,BRONX,10461,BRONX,NY,"56,386.00",0.00,"56,386.00","101,400.00",0.00,"21,800.00","79,600.00"
13365,13366,4085,NY-00130,BRONX,10462,BRONX,NY,"2,139.00","2,139.00",0.00,0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BRONX,10463,BRONX,NY,"16,400.00",0.00,"16,400.00",0.00,0.00,0.00,0.00
13365,13366,4085,NY-00130,BRONX,10464,BRONX,NY,"3,014,689.00","2,980,693.00","33,996.00","754,100.00","754,100.00",0.00,0.00
