,Date/Time Reported,Date/Time Occurred,Location,Incident,CAD #,Report #,Disposition
45,04/14/2023 06:00 pm,,Education Building,VANDALISM - Malicious Mischief report,23-04-14-005129,230469,REPORT TAKEN
46,04/14/2023 05:55 pm,,Rodeo Arena,MEDICAL - Medical Aid,23-04-14-005127,,COMPLETED- NO REPORT
47,04/14/2023 05:39 pm,,Rodeo Arena,MEDICAL - Medical Aid,23-04-14-005126,,COMPLETED- NO REPORT
48,04/14/2023 05:25 pm,,Highland Drive,DISTURBANCE - Disturbance (specify) In Progress,23-04-14-005125,,COMPLETED- NO REPORT
49,04/14/2023 05:10 pm,,Ytt Parking Structure,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-14-005124,,IN SERVICE
50,04/14/2023 04:31 pm,,Recreation Center Area,PATROL ACTIVITY - Patrol Check,23-04-14-005122,,IN SERVICE
51,04/14/2023 03:39 pm,,Cerro Vista  Islay,ALARM - Elevator Emergency/Alarm,23-04-14-005121,,COMPLETED- NO REPORT
52,04/14/2023 03:29 pm,,Klamath Road,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-14-005120,,COMPLETED- NO REPORT
53,04/14/2023 03:14 pm,,Kinesiology,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-14-005119,,UNFOUNDED
54,04/14/2023 03:10 pm,,Fremont Hall Area,PARKING - Parking Violation,23-04-14-005118,,TURNED OVER TO TAPS
55,04/14/2023 02:06 pm,,Corporation Warehouse Area,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-14-005114,,COMPLETED- NO REPORT
56,04/14/2023 01:57 pm,,H14-a Parking Lot,CITIZEN ASSIST - Public Assist (specify),23-04-14-005113,,COMPLETED- NO REPORT
57,04/14/2023 01:17 pm,,Yosemite Tower 2,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-14-005112,,GONE ON ARRIVAL/UNABLE TO LOCATE
58,04/14/2023 01:09 pm,,Performing Arts Center,MOTOR VEHICLE THEFT - Motor Vehicle Theft Auto,23-04-14-005111,,COMPLETED- NO REPORT
59,04/14/2023 11:54 am,,Yak?ityutyu - D,ALARM - Elevator Emergency/Alarm,23-04-14-005110,,QUIET ON ARRIVAL/QUIET ON DEPARTURE
60,04/14/2023 11:28 am,,William & Linda Frost Center For Research & Innovation,ALARM - Elevator Emergency/Alarm,23-04-14-005109,,False/Human Error
61,04/14/2023 11:26 am,,Julian A. Mcphee University Union,PATROL ACTIVITY - Foot Patrol,23-04-14-005108,,IN SERVICE
62,04/14/2023 11:18 am,,Frank E Pilling Computer Science,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-14-005107,,UNFOUNDED
63,04/14/2023 09:18 am,,Student Services Center Area,PARKING - Parking Violation,23-04-14-005106,,COMPLETED- NO REPORT
64,04/14/2023 12:04 am,04/12/2023 11:20 pm - 04/13/2023 11:20 pm,Muir Hall,VANDALISM - Vandalism - Less Than $400,,230466,Closed
65,04/14/2023 12:04 am,,Muir Hall,VANDALISM - Malicious Mischief report,23-04-14-005096,230466,REPORT TAKEN
66,04/13/2023 11:55 pm,,Dexter Lawn,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-13-005095,,GONE ON ARRIVAL/UNABLE TO LOCATE
67,04/13/2023 11:50 pm,,Rodeo Arena,PATROL ACTIVITY - Patrol Check,23-04-13-005094,,IN SERVICE
68,04/13/2023 11:40 pm,,Pcv Aliso,ALARM - Fire Alarm,23-04-13-005092,,False/Cooking related
69,04/13/2023 07:41 pm,04/13/2023 07:41 pm - 04/13/2023 09:07 pm,Old Science,DOCUMENTATION - General Incident,,230465,Closed
70,04/13/2023 07:41 pm,,Old Science,CITIZEN ASSIST - Check The Welfare,23-04-13-005087,230465,REPORT TAKEN
71,04/13/2023 06:11 pm,,Frank E Pilling Computer Science,ALARM - Fire Alarm,23-04-13-005081,,False/Mechanical
72,04/13/2023 06:00 pm,,Pcv Huasna,ALARM - Fire Alarm,23-04-13-005079,,False/Cooking related
73,04/13/2023 05:55 pm,,Administration,CITIZEN ASSIST - Public Assist (specify),23-04-13-005078,,IN SERVICE
74,04/13/2023 05:47 pm,,Agricultural Sciences,ALARM - Burglary Alarm,23-04-13-005077,,False/Mechanical
75,04/13/2023 05:32 pm,,Pcv Huasna,ALARM - Fire Alarm,23-04-13-005076,,False/Cooking related
76,04/13/2023 04:32 pm,,Pcv Inyo,ALARM - Fire Alarm,23-04-13-005074,,False/Cooking related
77,04/13/2023 03:41 pm,04/13/2023 03:41 pm - 04/13/2023 03:42 pm,Kennedy Library,PROPERTY - Lost Property,,230464,
78,04/13/2023 03:41 pm,,Kennedy Library,PROPERTY - Lost Property,23-04-13-005071,230464,REPORT TAKEN
